Supplier_ID,Business_Name,Owner_Name,Country,City,Address,Phone,Email,Website,Category,Main_Products,Business_Type,Year_Established,Employees,Annual_Export_Volume_USD,Min_Order_Quantity,Export_Markets,Certifications,Rating,Payment_Terms,Lead_Time_Days
SUP000001,Apex Fabrics Trading Co,Dana White,Saudi Arabia,Dammam,"518 Industrial Area, Dammam, Saudi Arabia",+966-8386-37940,dana@hotmail.com,www.apexfabricstradingco.sa,Textiles & Apparel,"Knitwear, Formal Suits, Denim Jeans",Trading Company,1988,26,6770620,356 sets,"Sub-Saharan Africa, North America, Oceania, South America",CE Certified,3.9,"30% Advance, 70% on Delivery",53
SUP000002,Global Metals Corporation,ihayun,South Korea,Busan,"364 Main Road, Busan, South Korea",+82-41928-32764,ihayun571@outlook.com,www.globalmetalscorporat.com,Metals & Minerals,"Copper Wires, Iron Ore, Aluminum Ingots, Stainless Steel Pipes, Zinc Alloys",Manufacturer,1989,7,38538252,3242 sets,"Middle East, South Asia, North Africa",HACCP,3.9,Net 60 Days,22
SUP000003,Diaconescu Minerals SA,Salomea Cristea,Romania,Cluj-Napoca,"433 Export Zone, Cluj-Napoca, Romania",+40-6697-84801,salomea.cristea@yahoo.com,www.diaconescumineralssa.com,Metals & Minerals,"Zinc Alloys, Steel Sheets, Aluminum Ingots",Manufacturer & Exporter,1982,23,54522,2445 sets,"South America, Western Europe","ISO 22000, Halal Certified, SEDEX",4.0,Net 30 Days,24
SUP000004,Mombasa Leather Works Group,Dr. Kenneth Wilkinson,Kenya,Nairobi,"676 Market Road, Nairobi, Kenya",+254-8248-96383,dr.wilkinson@yahoo.com,www.mombasaleatherworksg.com,Leather Goods,"Jackets, Wallets, Leather Bags, Travel Bags",Wholesaler,2003,430,716887,59 units,"South America, CIS Countries, South Asia, Oceania","Halal Certified, ISO 22000, Organic Certified",4.4,100% Advance,34
SUP000005,Prime Farms Inc,William Hughes,Philippines,Cebu City,"100 Free Zone, Cebu City, Philippines",+63-56670-10651,contact@primefarmsinc.ph,www.primefarmsinc.ph,Agriculture & Food Products,"Coffee Beans, Sugar, Frozen Vegetables, Wheat Flour",Trading Company,1992,34,783824,1363 tons,"South Asia, Sub-Saharan Africa",ISO 14001,4.0,Net 30 Days,56
SUP000006,Vargas Leathercraft Sdn Bhd,James Mckenzie,Malaysia,Penang,"594 Industrial Area, Penang, Malaysia",+60-5009-78820,james@outlook.com,www.vargasleathercraftsd.my,Leather Goods,"Travel Bags, Leather Gloves, Leather Upholstery, Jackets",Manufacturer,2018,153,95880,3435 sets,"CIS Countries, South Asia, Western Europe, Eastern Europe","CE Certified, ISO 9001",4.2,Cash Against Documents (CAD),38
SUP000007,Universal Industrial Equipment S.L.,Natanael Recio Sureda,Spain,Madrid,"903 Export Zone, Madrid, Spain",+34-3542-78498,export@universalindustriale.com,www.universalindustriale.com,Machinery & Industrial Equipment,"Industrial Pumps, CNC Machines, Packaging Machines, Conveyor Belts",Manufacturer,1983,79,395443,2163 boxes,"South America, CIS Countries, Southeast Asia, Eastern Europe","FSSAI, ISO 22000, HACCP",4.0,100% Advance,16
SUP000008,Star Industries Inc.,Terri Martin,Canada,Toronto,"597 Business Park, Toronto, Canada",+1-62045-05331,contact@starindustriesinc.com,www.starindustriesinc.com,Chemicals & Petrochemicals,"Pesticides, Solvents, Adhesives, Plastic Resins, Industrial Chemicals",Sole Proprietor Exporter,1984,4610,288074,2186 pieces,"South America, Western Europe","ISO 9001, Organic Certified, HACCP",4.6,"30% Advance, 70% on Delivery",53
SUP000009,Le Stone Works Co. Ltd,Chau Thi Duong,Vietnam,Hanoi,"991 Commercial Street, Hanoi, Vietnam",+84-5868-50142,chau40@gmail.com,www.lestoneworkscoltd.com,Construction Materials,"Marble Slabs, Ceramic Tiles, Bricks",Manufacturer & Exporter,2021,25,70488,3573 units,"Sub-Saharan Africa, North Africa","Organic Certified, ISO 14001",4.0,Net 30 Days,51
SUP000010,Lara Handicrafts Group,Guadalupe Indira Lemus Pena,Mexico,Monterrey,"431 Free Zone, Monterrey, Mexico",+52-29946-80443,export@larahandicraftsgroup.com,www.larahandicraftsgroup.com,Handicrafts & Home Decor,"Wicker Baskets, Bamboo Crafts, Stone Carvings, Decorative Mirrors, Ceramic Pottery",Distributor,2018,180,9647850,766 pieces,"Sub-Saharan Africa, Middle East, Southeast Asia",CE Certified,4.3,Net 30 Days,30
SUP000011,Kuwait City Garments LLC,Christopher Long,Kuwait,Kuwait City,"882 Export Zone, Kuwait City, Kuwait",+965-6328-7083,christopher@outlook.com,www.kuwaitcitygarmentsll.com,Textiles & Apparel,"Knitwear, Baby Clothing, Woolen Sweaters, Embroidered Fabrics",Sole Proprietor Exporter,2008,4651,31361813,3687 kg,"Sub-Saharan Africa, Eastern Europe, Western Europe","WRAP Certified, ISO 9001, Halal Certified",4.5,Net 60 Days,71
SUP000012,Lucas Motors Group,Andrew Clark,Australia,Melbourne,"724 Main Road, Melbourne, Australia",+61-1665-87603,andrew.clark@gmail.com,www.lucasmotorsgroup.com,Automotive Parts,"Suspension Parts, Tires, Alloy Wheels, Brake Pads",Wholesaler,1999,2223,664366,2236 tons,"Western Europe, Eastern Europe","WRAP Certified, ISO 22000",4.0,Telegraphic Transfer (T/T),48
SUP000013,Leather Works International Ltd,Christopher Barrett,Tanzania,Dar es Salaam,"780 Free Zone, Dar es Salaam, Tanzania",+255-4641-70805,info@leatherworksinternat.tz,www.leatherworksinternat.com,Leather Goods,"Travel Bags, Wallets, Leather Shoes, Leather Upholstery, Leather Bags",Trading Company,1987,1517,4656839,3022 pieces,"Sub-Saharan Africa, North Africa, Eastern Europe","HACCP, RoHS Compliant",4.2,"30% Advance, 70% on Delivery",25
SUP000014,Electricals International GmbH,Anneliese Sigrist,Switzerland,Zurich,"71 Trade Center, Zurich, Switzerland",+41-0671-65726,export@electricalsinternati.com,www.electricalsinternati.com,Electronics & Electrical,"Solar Panels, Mobile Accessories, Power Cables, Inverters, Smart Switches",Wholesaler,2005,948,5118726,3693 pieces,"South America, East Asia, North America, North Africa","GMP Certified, SEDEX, HACCP",4.5,Telegraphic Transfer (T/T),48
SUP000015,Horizon Stone Works Ltd,Justin Chang,Bangladesh,Khulna,"417 Market Road, Khulna, Bangladesh",+880-83777-01436,justin@yahoo.com,www.horizonstoneworksltd.com,Construction Materials,"Bricks, Steel Bars, Granite Stones, Roofing Sheets",Wholesaler,1997,2441,55509,1578 kg,"North America, Southeast Asia, Eastern Europe, South America",WRAP Certified,3.2,Letter of Credit (L/C),29
